Datum,Tag,Feiertag,KW,Klasse
01.01.2019,Di,Neujahr,1,1
06.01.2019,So,Heilige drei Könige,1,1
31.03.2019,So,Sommerzeit Beginn,13,5
18.04.2019,Do,Gründonnerstag,16,1
19.04.2019,Fr,Karfreitag,16,1
21.04.2019,So,Ostern,16,4
22.04.2019,Mo,Ostermontag,17,1
01.05.2019,Mi,Tag der Arbeit,18,1
05.05.2019,So,"Muttertag (ES, HU, LT, PT)",18,5
09.05.2019,Do,Europatag,19,5
15.08.2019,Do,Mariä Himmelfahrt,33,1
12.10.2019,Sa,Nationalfeiertag Spanien,41,1
27.10.2019,So,Sommerzeit Ende,43,5
01.11.2019,Fr,Allerheiligen,44,1
01.12.2019,So,Erster Advent,48,5
06.12.2019,Fr,Tag der Verfassung (ES),49,1
08.12.2019,So,Mariä Empfängnis,49,1
08.12.2019,So,Zweiter Advent,49,5
15.12.2019,So,Dritter Advent,50,5
22.12.2019,So,Vierter Advent,51,5
25.12.2019,Mi,Weihnachten,52,1
31.12.2019,Di,Silvester,1,5